SRR12516994_1.fastq	S119_S119_L001_R1_001.fastq
SRR12516994_2.fastq	S119_S119_L001_R2_001.fastq
SRR12516995_1.fastq	S118_S118_L001_R1_001.fastq
SRR12516995_2.fastq	S118_S118_L001_R2_001.fastq
SRR12516996_1.fastq	S117_S117_L001_R1_001.fastq
SRR12516996_2.fastq	S117_S117_L001_R2_001.fastq
SRR12516997_1.fastq	S116_S116_L001_R1_001.fastq
SRR12516997_2.fastq	S116_S116_L001_R2_001.fastq
SRR12516998_1.fastq	S115_S115_L001_R1_001.fastq
SRR12516998_2.fastq	S115_S115_L001_R2_001.fastq
SRR12516999_1.fastq	S114_S114_L001_R1_001.fastq
SRR12516999_2.fastq	S114_S114_L001_R2_001.fastq
SRR12517000_1.fastq	S113_S113_L001_R1_001.fastq
SRR12517000_2.fastq	S113_S113_L001_R2_001.fastq
SRR12517001_1.fastq	S112_S112_L001_R1_001.fastq
SRR12517001_2.fastq	S112_S112_L001_R2_001.fastq
SRR12517002_1.fastq	S111_S111_L001_R1_001.fastq
SRR12517002_2.fastq	S111_S111_L001_R2_001.fastq
SRR12517003_1.fastq	S12_S12_L001_R1_001.fastq
SRR12517003_2.fastq	S12_S12_L001_R2_001.fastq
SRR12517004_1.fastq	S110_S110_L001_R1_001.fastq
SRR12517004_2.fastq	S110_S110_L001_R2_001.fastq
SRR12517005_1.fastq	S109_S109_L001_R1_001.fastq
SRR12517005_2.fastq	S109_S109_L001_R2_001.fastq
SRR12517006_1.fastq	S108_S108_L001_R1_001.fastq
SRR12517006_2.fastq	S108_S108_L001_R2_001.fastq
SRR12517007_1.fastq	S107_S107_L001_R1_001.fastq
SRR12517007_2.fastq	S107_S107_L001_R2_001.fastq
SRR12517008_1.fastq	S106_S106_L001_R1_001.fastq
SRR12517008_2.fastq	S106_S106_L001_R2_001.fastq
SRR12517009_1.fastq	S105_S105_L001_R1_001.fastq
SRR12517009_2.fastq	S105_S105_L001_R2_001.fastq
SRR12517010_1.fastq	S104_S104_L001_R1_001.fastq
SRR12517010_2.fastq	S104_S104_L001_R2_001.fastq
SRR12517011_1.fastq	S103_S103_L001_R1_001.fastq
SRR12517011_2.fastq	S103_S103_L001_R2_001.fastq
SRR12517012_1.fastq	S102_S102_L001_R1_001.fastq
SRR12517012_2.fastq	S102_S102_L001_R2_001.fastq
SRR12517013_1.fastq	S101_S101_L001_R1_001.fastq
SRR12517013_2.fastq	S101_S101_L001_R2_001.fastq
SRR12517014_1.fastq	S11_S11_L001_R1_001.fastq
SRR12517014_2.fastq	S11_S11_L001_R2_001.fastq
SRR12517015_1.fastq	S2_S2_L001_R1_001.fastq
SRR12517015_2.fastq	S2_S2_L001_R2_001.fastq
SRR12517016_1.fastq	S1_S1_L001_R1_001.fastq
SRR12517016_2.fastq	S1_S1_L001_R2_001.fastq
